DATE,PORT_LOSS,Historical_VaR_2,Historical_ES_2,Parametric_VaR_U_2,Parametric_ES_U_2,Parametric_VaR_W_2,Parametric_ES_W_2,MonteCarlo_VaR_U_2,MonteCarlo_ES_U_2,MonteCarlo_VaR_W_2,MonteCarlo_ES_W_2
2011-10-31 00:00:00,-1010.2180190499639,70612.48468133993,68543.29597433083,59485.59492541535,59751.57580528443,73490.55447771074,73798.04724155006,55778.05272783758,56873.846636130365,77265.43737802538,74725.20631183595
2011-10-28 00:00:00,8668.368494480033,70612.48468133993,68543.29597433083,59456.80770045181,59723.062064309954,73453.6356348861,73761.33797189372,62816.75337869185,62147.03440350851,75280.75384808658,75088.4127954616
2011-10-27 00:00:00,-1844.1118340198882,70612.48468133993,68543.29597433083,59650.234127458185,59916.30051075795,73578.99955734063,73886.93630273698,64501.121879313374,64812.7774613765,72048.0177484632,71819.72296150733
2011-10-26 00:00:00,-1402.8554351700004,70612.48468133993,68543.29597433083,59853.70152743091,60119.8214007091,73754.91710093315,74062.84068002808,65369.859132371144,61986.09163087641,74505.49993342487,72630.87808226986
2011-10-25 00:00:00,-1186.1165798099246,70612.48468133993,68543.29597433083,59667.83534197789,59933.70266320184,73905.95785560971,74214.06553969358,70016.86714230641,68015.69099689009,74567.32784700405,77389.52229898851
2011-10-24 00:00:00,-5327.300675590057,70612.48468133993,68543.29597433083,59917.41236591444,60183.085516817286,73718.34046796244,74026.49184308271,54237.68437600706,53867.846749199416,73716.22950656246,76693.29009407015
2011-10-21 00:00:00,-31391.87049894,70612.48468133993,68543.29597433083,59921.08636047633,60186.73791110108,73893.60843951092,74201.66380973055,61751.793768692296,58476.97450451276,79408.84584820108,78442.9653060357
2011-10-20 00:00:00,-36164.18900696002,70612.48468133993,68543.29597433083,59812.15930857812,60077.85093408602,74051.6180932934,74359.83386238641,56981.89543435117,54517.423939356646,65299.622690727934,67318.87879610038
2011-10-19 00:00:00,-15384.288603870198,70612.48468133993,68543.29597433083,59034.02031760698,59299.00532115332,74068.37155546178,74376.83445465344,65072.88491577632,67029.61599107987,76645.85884071095,79196.15815229427
2011-10-18 00:00:00,24938.571874679998,70612.48468133993,68543.29597433083,58657.97601559304,58922.69042906677,73363.91903141746,73671.57891752745,60307.6402178806,57825.064788499636,75614.62369236466,74388.51939775322
2011-10-17 00:00:00,28543.88806922012,70612.48468133993,68543.29597433083,59172.75941578974,59438.507225355715,73104.26698831446,73411.87043631088,56312.38546038605,58201.07718986669,83443.12024777988,79503.60270380568
2011-10-14 00:00:00,57897.17212802998,70612.48468133993,68543.29597433083,59220.733138592565,59485.66963350272,72965.50677906803,73273.21440830082,53994.20309825661,53033.09140111383,72674.30620175262,72199.26575940015
